Athlete,Country,Gender,Discipline,Event,Year,Medal
"ESTENSTAD, Magnar",NOR,Men,Cross Country Skiing,4X10KM Relay,1952,Silver
"ESTENSTAD, Magnar",NOR,Men,Cross Country Skiing,50KM,1952,Bronze
"ESTIL, Frode",NOR,Men,Cross Country Skiing,10KM Pursuit,2002,Gold
"ESTIL, Frode",NOR,Men,Cross Country Skiing,15KM,2002,Silver
"ESTIL, Frode",NOR,Men,Cross Country Skiing,4X10KM Relay,2002,Gold
"ESTIL, Frode",NOR,Men,Cross Country Skiing,Combined 15 + 15KM Mass Start,2006,Silver
"ESTNER, Hansi",FRG,Men,Biathlon,4X7.5KM Relay,1980,Bronze
"ETCHER, Fred",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"EVANS, Aja",USA,Women,Bobsleigh,Two-Woman,2014,Bronze
"EVENSEN, Bernt",NOR,Men,Speed skating,1500M,1928,Silver
"EVENSEN, Bernt",NOR,Men,Speed skating,5000M,1928,Bronze
"EVENSEN, Bernt",NOR,Men,Speed skating,500M,1928,Gold
"EVENSEN, Bernt",NOR,Men,Speed skating,500M,1932,Silver
"EVENSEN, Erling",NOR,Men,Cross Country Skiing,4X10KM Relay,1948,Bronze
"EVENSEN, Johan Remen",NOR,Men,Ski Jumping,K120 Team (90M),2010,Bronze
"EVERETT, Douglas Newton",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"FABJAN, Vesna",SLO,Women,Cross Country Skiing,Sprint 1.5KM,2014,Bronze
"FABRIS, Enrico",ITA,Men,Speed skating,1500M,2006,Gold
"FABRIS, Enrico",ITA,Men,Speed skating,5000M,2006,Bronze
"FABRIS, Enrico",ITA,Men,Speed skating,Team Pursuit,2006,Gold
"FAGONE, Orazio",ITA,Men,Short Track Speed Skating,5000M Relay,1994,Gold
"FAK, Jakov",CRO,Men,Biathlon,10KM,2010,Bronze
"FALK, Paul",FRG,Men,Figure skating,Pairs,1952,Gold
"FALK, Ria",FRG,Women,Figure skating,Pairs,1952,Gold
"FALKANGER, Torbjorn",NOR,Men,Ski Jumping,K90 Individual (70M),1952,Silver
"FALLA, Maiken Caspersen",NOR,Women,Cross Country Skiing,Sprint 1.5KM,2014,Gold
"FAMOSE, Annie",FRA,Women,Alpine Skiing,Giant Slalom,1968,Silver
"FAMOSE, Annie",FRA,Women,Alpine Skiing,Slalom,1968,Bronze
"FAN, Kexin",CHN,Women,Short Track Speed Skating,1000M,2014,Silver
"FARDA, Richard",TCH,Men,Ice Hockey,Ice Hockey,1972,Bronze
"FARGUHARSON, Hugh",CAN,Men,Ice Hockey,Ice Hockey,1936,Silver
"FARMER-HORN, Kenneth",CAN,Men,Ice Hockey,Ice Hockey,1936,Silver
"FARRELL, Franklin",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"FARRELL, John O",USA,Men,Speed skating,500M,1928,Bronze
"FARRINGTON, Kaitlyn",USA,Women,Snowboard,Half-Pipe,2014,Gold
"FARSTAD, Sverre",NOR,Men,Speed skating,1500M,1948,Gold
"FASEL, Charles",SUI,Men,Ice Hockey,Ice Hockey,1928,Bronze
"FASSER, Ekkehard",SUI,Men,Bobsleigh,Four-Man,1988,Gold
"FÄSSLER, Marcel",SUI,Men,Bobsleigh,Four-Man,1988,Gold
"FATKULINA, Olga",RUS,Women,Speed skating,500M,2014,Silver
"FAUNER, Silvio",ITA,Men,Cross Country Skiing,4X10KM Relay,1992,Silver
"FAUNER, Silvio",ITA,Men,Cross Country Skiing,4X10KM Relay,1994,Gold
"FAUNER, Silvio",ITA,Men,Cross Country Skiing,Combined 10KM + 15KM Pursuit,1994,Bronze
"FAUNER, Silvio",ITA,Men,Cross Country Skiing,30KM Mass Start,1998,Bronze
"FAUNER, Silvio",ITA,Men,Cross Country Skiing,4X10KM Relay,1998,Silver
"FAVRE, Willy",SUI,Men,Alpine Skiing,Giant Slalom,1968,Silver
"FEDOROV, Sergei",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"FEDOROV, Sergei",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"FEDOTKINA, Svetlana",RUS,Women,Speed skating,1500M,1994,Silver
"FEIERABEND, Fritz",SUI,Men,Bobsleigh,Four-Man,1936,Silver
"FEIERABEND, Fritz",SUI,Men,Bobsleigh,Two-Man,1936,Silver
"FEIERABEND, Fritz",SUI,Men,Bobsleigh,Two-Man,1948,Silver
"FEIERABEND, Fritz",SUI,Men,Bobsleigh,Four-Man,1952,Bronze
"FEIERABEND, Fritz",SUI,Men,Bobsleigh,Two-Man,1952,Bronze
"FEISTMANTL, Josef",AUT,Men,Luge,Doubles,1964,Gold
"FELDER, Andreas",AUT,Men,Ski Jumping,K120 Team (90M),1992,Silver
"FELLAY, Raymond",SUI,Men,Alpine Skiing,Downhill,1956,Silver
"FENDT, Josef",FRG,Men,Luge,Singles,1976,Silver
"FENG, Kai",CHN,Men,Short Track Speed Skating,5000M Relay,1998,Bronze
"FENG, Kai",CHN,Men,Short Track Speed Skating,5000M Relay,2002,Bronze
"FENNINGER, Anna",AUT,Women,Alpine Skiing,Giant Slalom,2014,Silver
"FENNINGER, Anna",AUT,Women,Alpine Skiing,Super-G,2014,Gold
"FENSON, Pete",USA,Men,Curling,Curling,2006,Bronze
"FERNANDEZ OCHOA, Blanca",ESP,Women,Alpine Skiing,Slalom,1992,Bronze
"FERNANDEZ OCHOA, Francisco",ESP,Men,Alpine Skiing,Slalom,1972,Gold
"FERRARI, Gillian",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"FERRY, Bjorn",SWE,Men,Biathlon,12.5Km Pursuit,2010,Gold
"FESSEL, Nicole",GER,Women,Cross Country Skiing,4X5KM Relay,2014,Bronze
"FETISOV, Viacheslav",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"FETISOV, Viacheslav",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"FETISOV, Viacheslav",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"FIDJESTÖL, Ole Gunnar",NOR,Men,Ski Jumping,K120 Team (90M),1988,Bronze
"FIEDLER, Wolfram",GDR,Men,Luge,Doubles,1972,Bronze
"FIEDLER, Wolfram",GDR,Men,Luge,Singles,1972,Bronze
"FIGINI, Michela",SUI,Women,Alpine Skiing,Downhill,1984,Gold
"FIGINI, Michela",SUI,Women,Alpine Skiing,Super-G,1988,Silver
"FILBRICH, Jens",GER,Men,Cross Country Skiing,4X10KM Relay,2002,Bronze
"FILBRICH, Jens",GER,Men,Cross Country Skiing,4X10KM Relay,2006,Silver
"FILIPPINI, André",SUI,Men,Bobsleigh,Four-Man,1952,Bronze
"FILPPULA, Valtteri",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"FIRSOV, Anatoli",URS,Men,Ice Hockey,Ice Hockey,1964,Gold
"FIRSOV, Anatoli",URS,Men,Ice Hockey,Ice Hockey,1968,Gold
"FIRSOV, Anatoli",URS,Men,Ice Hockey,Ice Hockey,1972,Gold
"FISCHBACHER, Andrea",AUT,Women,Alpine Skiing,Super-G,2010,Gold
"FISCHER, Fritz",FRG,Men,Biathlon,4X7.5KM Relay,1984,Bronze
"FISCHER, Fritz",FRG,Men,Biathlon,4X7.5KM Relay,1988,Silver
"FISCHER, Fritz",GER,Men,Biathlon,4X7.5KM Relay,1992,Gold
"FISCHER, Sven",GER,Men,Biathlon,20KM,1994,Bronze
"FISCHER, Sven",GER,Men,Biathlon,4X7.5KM Relay,1994,Gold
"FISCHER, Sven",GER,Men,Biathlon,4X7.5KM Relay,1998,Gold
"FISCHER, Sven",GER,Men,Biathlon,10KM,2002,Silver
"FISCHER, Sven",GER,Men,Biathlon,4X7.5KM Relay,2002,Silver
"FISCHER, Sven",GER,Men,Biathlon,10KM,2006,Gold
"FISCHER, Sven",GER,Men,Biathlon,12.5Km Pursuit,2006,Bronze
"FISCHER, Sven",GER,Men,Biathlon,4X7.5KM Relay,2006,Gold
"FISH, Jennifer",USA,Women,Speed skating,500M,1968,Silver
"FISHER, Franlyn Wood",CAN,Men,Ice Hockey,Ice Hockey,1928,Gold
"FISK, Sari",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"FISKE, William",USA,Men,Bobsleigh,Five-Man,1928,Gold
"FISKE, William",USA,Men,Bobsleigh,Four-Man,1932,Gold
"FITZGERALD, Joseph",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"FITZGERALD, Robert",USA,Men,Speed skating,500M,1948,Silver
"FITZRANDOLPH, Casey",USA,Men,Speed skating,500M,2002,Gold
"FLAIM, Eric",USA,Men,Speed skating,1500M,1988,Silver
"FLAIM, Eric",USA,Men,Short Track Speed Skating,5000M Relay,1994,Silver
"FLANDIN, Hervé",FRA,Men,Biathlon,4X7.5KM Relay,1994,Bronze
"FLATLAND, Ann Kristin Aafedt",NOR,Women,Biathlon,4X6KM Relay,2014,Bronze
"FLAXEY, Caleb",CAN,Men,Curling,Curling,2014,Gold
"FLEMING, Peggy",USA,Women,Figure skating,Individual,1968,Gold
"FLEMING, Valerie",USA,Women,Bobsleigh,Two-Man,2006,Silver
"FLETCHER, Rosey",USA,Women,Snowboard,Giant Parallel Slalom,2006,Bronze
"FLEURY, Marc-Andre",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"FLEURY, Theo",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"FLODQVIST, Thord",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"FLÖJT, Henrik",FIN,Men,Biathlon,4X7.5KM Relay,1976,Silver
"FLORSCHUETZ, Andre",GER,Men,Luge,Doubles,2006,Silver
"FLORSCHUETZ, Thomas",GER,Men,Bobsleigh,Two-Man,2010,Silver
"FLOTH, Horst",FRG,Men,Bobsleigh,Two-Man,1968,Silver
"FLOTH, Horst",FRG,Men,Bobsleigh,Two-Man,1972,Silver
"FLOWERS, Vonetta",USA,Women,Bobsleigh,Two-Man,2002,Gold
"FLUCKINGER, Georg",AUT,Men,Luge,Doubles,1980,Bronze
"FOGT, Christopher",USA,Men,Bobsleigh,Four-Man,2014,Bronze
"FOKICHEV, Sergey",URS,Men,Speed skating,500M,1984,Gold
"FOLLIS, Arianna",ITA,Women,Cross Country Skiing,4X5KM Relay,2006,Bronze
"FONJALLAZ, Gaston",SUI,Men,Bobsleigh,Two-Man,1932,Silver
"FONJALLAZ, Gustave",SUI,Men,Bobsleigh,Two-Man,1932,Silver
"FONJALLAZ, René",SUI,Men,Bobsleigh,Two-Man,1932,Silver
"FONTANA, Arianna",ITA,Women,Short Track Speed Skating,3000M Relay,2006,Bronze
"FONTANA, Arianna",ITA,Women,Short Track Speed Skating,500M,2010,Bronze
"FONTANA, Arianna",ITA,Women,Short Track Speed Skating,1500M,2014,Bronze
"FONTANA, Arianna",ITA,Women,Short Track Speed Skating,3000M Relay,2014,Bronze
"FONTANA, Arianna",ITA,Women,Short Track Speed Skating,500M,2014,Silver
"FOOTE, Adam",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"FORBES, R.A.",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"FORD, Atina",CAN,Women,Curling,Curling,1998,Gold
"FORHAN, Robert",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"FORMO, Ivar",NOR,Men,Cross Country Skiing,15KM,1972,Bronze
"FORMO, Ivar",NOR,Men,Cross Country Skiing,4X10KM Relay,1972,Silver
"FORMO, Ivar",NOR,Men,Cross Country Skiing,4X10KM Relay,1976,Silver
"FORMO, Ivar",NOR,Men,Cross Country Skiing,50KM,1976,Gold
"FORSBERG, Magdalena",SWE,Women,Biathlon,15KM,2002,Bronze
"FORSBERG, Magdalena",SWE,Women,Biathlon,7.5KM,2002,Bronze
"FORSBERG, Peter",SWE,Men,Ice Hockey,Ice Hockey,1994,Gold
"FORSBERG, Peter",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"FORSTER, Sarah",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"FORTINO, Laura",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"FORTUNA, Wojciech",POL,Men,Ski Jumping,K120 Individual (90M),1972,Gold
"FORTUNE, Frederick Joseph",USA,Men,Bobsleigh,Two-Man,1948,Bronze
"FOSTER, James",GBR,Men,Ice Hockey,Ice Hockey,1936,Gold
"FOUCRAS, Sebastien",FRA,Men,Freestyle Skiing,Aerials,1998,Silver
"FOURCADE, Martin",FRA,Men,Biathlon,15KM Mass Start,2010,Silver
"FOURCADE, Martin",FRA,Men,Biathlon,12.5Km Pursuit,2014,Gold
"FOURCADE, Martin",FRA,Men,Biathlon,15KM Mass Start,2014,Silver
"FOURCADE, Martin",FRA,Men,Biathlon,20KM,2014,Gold
"FRANCESCHINA, Nicola",ITA,Men,Short Track Speed Skating,5000M Relay,2002,Silver
"FRANCK, Daniel",NOR,Men,Snowboard,Half-Pipe,1998,Silver
"FRANDL, Josefine",AUT,Women,Alpine Skiing,Giant Slalom,1956,Silver
"FRANKO, Jure",YUG,Men,Alpine Skiing,Giant Slalom,1984,Silver
"FRAS, Damjan",SLO,Men,Ski Jumping,K120 Team (90M),2002,Bronze
"FRASER, Gretchen",USA,Women,Alpine Skiing,Alpine Combined,1948,Silver
"FRASER, Gretchen",USA,Women,Alpine Skiing,Slalom,1948,Gold
"FRASSINELLI, Adriano",ITA,Men,Bobsleigh,Four-Man,1972,Silver
"FRATIANNE, Linda",USA,Women,Figure skating,Individual,1980,Silver
"FRAUTSCHI, Angela",SUI,Women,Ice Hockey,Ice Hockey,2014,Bronze
"FRAZIER, Edward Hartwell",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"FREDRIKSSON, Mathias",SWE,Men,Cross Country Skiing,4X10KM Relay,2006,Bronze
"FREDRIKSSON, Thobias",SWE,Men,Cross Country Skiing,Sprint 1.5KM,2006,Bronze
"FREDRIKSSON, Thobias",SWE,Men,Cross Country Skiing,Team Sprint,2006,Gold
"FREI, Tanya",SUI,Women,Curling,Curling,2002,Silver
"FREIERMUTH, Rico",SUI,Men,Bobsleigh,Four-Man,1984,Bronze
"FREISINGER, Leo",USA,Men,Speed skating,500M,1936,Bronze
"FRENZEL, Eric",GER,Men,Nordic Combined,"Team, 4X5 KM",2010,Bronze
"FRENZEL, Eric",GER,Men,Nordic Combined,Ind. K90 (70M),2014,Gold
"FRENZEL, Eric",GER,Men,Nordic Combined,"Team, 4X5 KM",2014,Silver
"FREUND, Severin",GER,Men,Ski Jumping,Teams,2014,Gold
"FRIEDEN, Tanja",SUI,Women,Snowboard,Snowboard Cross,2006,Gold
"FRIESINGER-POSTMA, Anna",GER,Women,Speed skating,3000M,1998,Bronze
"FRIESINGER-POSTMA, Anna",GER,Women,Speed skating,1500M,2002,Gold
"FRIESINGER-POSTMA, Anna",GER,Women,Speed skating,1000M,2006,Bronze
"FRIESINGER-POSTMA, Anna",GER,Women,Speed skating,Team Pursuit,2006,Gold
"FRIESINGER-POSTMA, Anna",GER,Women,Speed skating,Team Pursuit,2010,Gold
"FRIMAN, Jaakko",FIN,Men,Speed skating,500M,1928,Bronze
"FROMMELT, Paul",LIE,Men,Alpine Skiing,Slalom,1988,Bronze
"FROMMELT, Willy",LIE,Men,Alpine Skiing,Slalom,1976,Bronze
"FRY, Lyndsey",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"FRY, Ryan",CAN,Men,Curling,Curling,2014,Gold
"FTOREK, Robbie",USA,Men,Ice Hockey,Ice Hockey,1972,Silver
"FUNAKI, Kazuyoshi",JPN,Men,Ski Jumping,K120 Individual (90M),1998,Gold
"FUNAKI, Kazuyoshi",JPN,Men,Ski Jumping,K120 Team (90M),1998,Gold
"FUNAKI, Kazuyoshi",JPN,Men,Ski Jumping,K90 Individual (70M),1998,Silver
"FUNK, Lorenz",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"FURUSETH, Ole Christian",NOR,Men,Alpine Skiing,Slalom,1998,Silver
"FUSAR POLI, Barbara",ITA,Women,Figure skating,Ice Dancing,2002,Bronze
"GABEL, Andrew",USA,Men,Short Track Speed Skating,5000M Relay,1994,Silver
"GABL, Franz",AUT,Men,Alpine Skiing,Downhill,1948,Silver
"GAGNE, Simon",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"GAGNON, Marc",CAN,Men,Short Track Speed Skating,1000M,1994,Bronze
"GAGNON, Marc",CAN,Men,Short Track Speed Skating,5000M Relay,1998,Gold
"GAGNON, Marc",CAN,Men,Short Track Speed Skating,1500M,2002,Bronze
"GAGNON, Marc",CAN,Men,Short Track Speed Skating,5000M Relay,2002,Gold
"GAGNON, Marc",CAN,Men,Short Track Speed Skating,500M,2002,Gold
"GAGNON, Sylvain",CAN,Men,Short Track Speed Skating,5000M Relay,1992,Silver
"GAILLARD, Jean Marc",FRA,Men,Cross Country Skiing,4X10KM Relay,2014,Bronze
"GAISER, Jens",GER,Men,Nordic Combined,Team,2006,Silver
"GAISREITER, Stefan",FRG,Men,Bobsleigh,Four-Man,1972,Bronze
"GALE, Tristan",USA,Women,Skeleton,Individual,2002,Gold
"GALMARINI, Nevin",SUI,Men,Snowboard,Giant Parall.S.,2014,Silver
"GAMBUCCI, André Peter",USA,Men,Ice Hockey,Ice Hockey,1952,Silver
"GANDLER, Markus",AUT,Men,Cross Country Skiing,10KM Pursuit,1998,Silver
"GARANICHEV, Evgeniy",RUS,Men,Biathlon,20KM,2014,Bronze
"GARANIN, Ivan",URS,Men,Cross Country Skiing,30KM Mass Start,1976,Bronze
"GARANIN, Ivan",URS,Men,Cross Country Skiing,4X10KM Relay,1976,Bronze
"GARBRECHT-ENFELDT, Monique",GER,Women,Speed skating,1000M,1992,Bronze
"GARBRECHT-ENFELDT, Monique",GER,Women,Speed skating,500M,2002,Silver
"GARBUTT, George",CAN,Men,Ice Hockey,Ice Hockey,1932,Gold
"GARRISON, John Bright",USA,Men,Ice Hockey,Ice Hockey,1932,Silver
"GARRISON, John Bright",USA,Men,Ice Hockey,Ice Hockey,1936,Bronze
"GARTMANN, Arnold",SUI,Men,Bobsleigh,Four-Man,1936,Gold
"GASIENICA-GRON, Franciszek",POL,Men,Nordic Combined,Individual,1956,Bronze
"GASPARIN, Selina",SUI,Women,Biathlon,15KM,2014,Silver
"GAUF, Donald Valentine",CAN,Men,Ice Hockey,Ice Hockey,1952,Gold
"GAUTSCHI, Georges",SUI,Men,Figure skating,Individual,1924,Bronze
"GAVRILJUK, Nina",URS,Women,Cross Country Skiing,4X5KM Relay,1988,Gold
"GAVRILJUK, Nina",RUS,Women,Cross Country Skiing,15KM Mass Start,1994,Bronze
"GAVRILJUK, Nina",RUS,Women,Cross Country Skiing,4X5KM Relay,1994,Gold
"GAVRILJUK, Nina",RUS,Women,Cross Country Skiing,4X5KM Relay,1998,Gold
"GAY, Richard",FRA,Men,Freestyle Skiing,Moguls,2002,Bronze
"GEHRING, Lana",USA,Women,Short Track Speed Skating,3000M Relay,2010,Bronze
"GEIER, Oscar",SUI,Men,Bobsleigh,Two-Man,1932,Silver
"GEIJSSEN, Carolina",NED,Women,Speed skating,1000M,1968,Gold
"GEIJSSEN, Carolina",NED,Women,Speed skating,1500M,1968,Silver
"GEISENBERGER, Natalie",GER,Women,Luge,Singles,2010,Bronze
"GEISENBERGER, Natalie",GER,Women,Luge,Mixed Relay,2014,Gold
"GEISENBERGER, Natalie",GER,Women,Luge,Singles,2014,Gold
"GEISLER, Ilse",EUA,Women,Luge,Singles,1964,Silver
"GERAN, N.",USA,Men,Ice Hockey,Ice Hockey,1924,Silver
"GERASIMOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"GERG, Hilde",GER,Women,Alpine Skiing,Alpine Combined,1998,Bronze
"GERG, Hilde",GER,Women,Alpine Skiing,Slalom,1998,Gold
"GERHARDT, Hans Jürgen",GDR,Men,Bobsleigh,Four-Man,1980,Gold
"GERHARDT, Hans Jürgen",GDR,Men,Bobsleigh,Two-Man,1980,Silver
"GERMESHAUSEN, Bernhard",GDR,Men,Bobsleigh,Four-Man,1976,Gold
"GERMESHAUSEN, Bernhard",GDR,Men,Bobsleigh,Two-Man,1976,Gold
"GERMESHAUSEN, Bernhard",GDR,Men,Bobsleigh,Four-Man,1980,Gold
"GERMESHAUSEN, Bernhard",GDR,Men,Bobsleigh,Two-Man,1980,Silver
"GEROMINI, Albert",SUI,Men,Ice Hockey,Ice Hockey,1928,Bronze
"GERRITSEN, Annette",NED,Women,Speed skating,1000M,2010,Silver
"GERSCHWILER, Hans",SUI,Men,Figure skating,Individual,1948,Silver
"GETZLAF, Ryan",CAN,Men,Ice Hockey,Ice Hockey,2010,Gold
"GETZLAF, Ryan",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"GEYER, Manfred",GDR,Men,Biathlon,4X7.5KM Relay,1976,Bronze
"GIBSON, Duff",CAN,Men,Skeleton,Individual,2006,Gold
"GIBSON, William James",CAN,Men,Ice Hockey,Ice Hockey,1952,Gold
"GIGER, Albert",SUI,Men,Cross Country Skiing,4X10KM Relay,1972,Bronze
"GILES, Curtis",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"GILPIN, A.",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"GIOBELLINA, Silvio",SUI,Men,Bobsleigh,Four-Man,1984,Bronze
"GIORDANI, Claudia",ITA,Women,Alpine Skiing,Slalom,1976,Silver
"GIRARDELLI, Marc",LUX,Men,Alpine Skiing,Giant Slalom,1992,Silver
"GIRARDELLI, Marc",LUX,Men,Alpine Skiing,Super-G,1992,Silver
"GIRARDI, Ulrico",ITA,Men,Bobsleigh,Four-Man,1956,Silver
"GIROUX, Mathieu",CAN,Men,Speed skating,Team Pursuit,2010,Gold
"GISIN, Dominique",SUI,Women,Alpine Skiing,Downhill,2014,Gold
"GJELLAND, Egil",NOR,Men,Biathlon,4X7.5KM Relay,1998,Silver
"GJELLAND, Egil",NOR,Men,Biathlon,4X7.5KM Relay,2002,Gold
"GJESTVANG, Alv",NOR,Men,Speed skating,500M,1956,Bronze
"GJESTVANG, Alv",NOR,Men,Speed skating,500M,1964,Silver
"GLADISHEVA, Svetlana",RUS,Women,Alpine Skiing,Super-G,1994,Silver
"GLAGOW, Martina",GER,Women,Biathlon,10KM Pursuit,2006,Silver
"GLAGOW, Martina",GER,Women,Biathlon,15KM,2006,Silver
"GLAGOW, Martina",GER,Women,Biathlon,4X6KM Relay,2006,Silver
"GLANZMANN, Fredy",SUI,Men,Nordic Combined,Team,1988,Silver
"GLASS, Bernhard",GDR,Men,Luge,Singles,1980,Gold
"GLASS, Harry",EUA,Men,Ski Jumping,K90 Individual (70M),1956,Bronze
"GLASS, Henry",GDR,Men,Ski Jumping,K120 Individual (90M),1976,Bronze
"GLEASON, Tim",USA,Men,Ice Hockey,Ice Hockey,2010,Silver
"GLENNIE, Brian",CAN,Men,Ice Hockey,Ice Hockey,1968,Bronze
"GLOCKSHUBER, Margot",FRG,Women,Figure skating,Pairs,1968,Bronze
"GODER, Tomas",TCH,Men,Ski Jumping,K120 Team (90M),1992,Bronze
"GOEBEL, Timothy",USA,Men,Figure skating,Individual,2002,Bronze
"GOEPPER, Nicholas",USA,Men,Freestyle Skiing,Ski Slopestyle,2014,Bronze
"GOERGL, Elisabeth",AUT,Women,Alpine Skiing,Downhill,2010,Bronze
"GOERGL, Elisabeth",AUT,Women,Alpine Skiing,Giant Slalom,2010,Bronze
"GOETSCHI, Reto",SUI,Men,Bobsleigh,Two-Man,1994,Silver
"GOETSCHL, Renate",AUT,Women,Alpine Skiing,Alpine Combined,2002,Silver
"GOETSCHL, Renate",AUT,Women,Alpine Skiing,Downhill,2002,Bronze
"GOITSCHEL, Christine",FRA,Women,Alpine Skiing,Giant Slalom,1964,Silver
"GOITSCHEL, Christine",FRA,Women,Alpine Skiing,Slalom,1964,Gold
"GOITSCHEL, Marielle",FRA,Women,Alpine Skiing,Giant Slalom,1964,Gold
"GOITSCHEL, Marielle",FRA,Women,Alpine Skiing,Slalom,1964,Silver
"GOITSCHEL, Marielle",FRA,Women,Alpine Skiing,Slalom,1968,Gold
"GOLD, Gracie",USA,Women,Figure skating,Team,2014,Bronze
"GOLDBERGER, Andreas",AUT,Men,Ski Jumping,K120 Individual (90M),1994,Bronze
"GOLDBERGER, Andreas",AUT,Men,Ski Jumping,K120 Team (90M),1994,Bronze
"GOLIKOV, Aleksandr",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"GOLIKOV, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"GOLONKA, Josef",TCH,Men,Ice Hockey,Ice Hockey,1964,Bronze
"GOLONKA, Josef",TCH,Men,Ice Hockey,Ice Hockey,1968,Silver
"GOLUBEV, Aleksandr",RUS,Men,Speed skating,500M,1994,Gold
"GONCHAR, Sergei",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"GONCHAR, Sergei",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"GONCHARENKO, Oleg",URS,Men,Speed skating,10000M,1956,Bronze
"GONCHARENKO, Oleg",URS,Men,Speed skating,5000M,1956,Bronze
"GONCHAROV, Ruslan",UKR,Men,Figure skating,Ice Dancing,2006,Bronze
"GOOCH, Nicky",GBR,Men,Short Track Speed Skating,500M,1994,Bronze
"GOOD, Ernst",SUI,Men,Alpine Skiing,Giant Slalom,1976,Silver
"GOODFELLOW, Michael",GBR,Men,Curling,Curling,2014,Silver
"GOODRICH, Hunter",USA,Men,Bobsleigh,Four-Man,1932,Silver
"GORDEYEVA, Yekaterina",URS,Women,Figure skating,Pairs,1988,Gold
"GORDEYEVA, Yekaterina",RUS,Women,Figure skating,Pairs,1994,Gold
"GORELIK, Aleksandr",URS,Men,Figure skating,Pairs,1968,Silver
"GORSHKOV, Aleksandr",URS,Men,Figure skating,Ice Dancing,1976,Gold
"GOSKOWICZ, Anthony",USA,Men,Short Track Speed Skating,5000M Relay,1994,Silver
"GOSSNER, Miriam",GER,Women,Cross Country Skiing,4X5KM Relay,2010,Silver
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Individual,2002,Bronze
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Sprint,2002,Bronze
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Team,2002,Bronze
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Individual,2006,Silver
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Individual Sprint,2006,Gold
"GOTTWALD, Felix",AUT,Men,Nordic Combined,Team,2006,Gold
"GOTTWALD, Felix",AUT,Men,Nordic Combined,"Team, 4X5 KM",2010,Gold
"GOULET-NADON, Amelie",CAN,Women,Short Track Speed Skating,3000M Relay,2002,Bronze
"GOUSSAROV, Aleksei",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"GOUSSAROV, Aleksei",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"GOYETTE, Danielle",CAN,Women,Ice Hockey,Ice Hockey,1998,Silver
"GOYETTE, Danielle",CAN,Women,Ice Hockey,Ice Hockey,2002,Gold
"GOYETTE, Danielle",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"GRAABAK, Joergen",NOR,Men,Nordic Combined,Sprint K120,2014,Gold
"GRAABAK, Joergen",NOR,Men,Nordic Combined,"Team, 4X5 KM",2014,Gold
"GRABNER, Siegfried",AUT,Men,Snowboard,Giant Parallel Slalom,2006,Bronze
"GRACH, Rafael",URS,Men,Speed skating,500M,1956,Silver
"GRACH, Rafael",URS,Men,Speed skating,500M,1960,Bronze
"GRADIN, Peter",SWE,Men,Ice Hockey,Ice Hockey,1984,Bronze
"GRAF, Olga",RUS,Women,Speed skating,3000M,2014,Bronze
"GRAF, Olga",RUS,Women,Speed skating,Team Pursuit,2014,Bronze
